1;8;10
4;34;296
7;5;17
9;8;33
10;8;27
11;20;40
12;8;20
13;8;22
14;3;22
16;5;27
17;7;26
18;8;30
19;9;35
20;8;39
23;8;58
24;19;65
26;1;31
28;4;37
29;51;185
31;1;34
33;8;48
34;48;84
35;1;39
36;8;66
39;9;92
40;27;83
41;8;56
42;6;56
43;18;83
45;16;99
46;25;196
47;1;67
48;8;75
49;8;100
50;44;143
52;50;134
54;5;77
56;8;108
58;8;108
59;65;400
61;14;122
62;2;83
63;6;81
64;8;116
67;4;134
68;11;127
69;11;145
70;8;130
72;28;171
74;4;81
1;8;9
4;34;41
7;5;21
9;8;17
10;8;20
11;20;131
12;8;25
13;8;33
14;3;19
16;5;28
17;7;27
18;8;36
19;9;32
20;8;35
23;8;40
24;19;77
26;1;33
28;4;37
29;51;258
31;1;36
33;8;58
34;48;84
35;1;38
36;8;49
39;9;53
40;27;138
41;8;72
42;6;127
43;18;77
45;16;103
46;25;190
47;1;59
48;8;66
49;8;111
50;44;121
52;50;153
54;5;71
56;8;79
58;8;87
59;65;214
61;14;141
62;2;86
63;6;109
64;8;129
67;4;135
68;11;140
69;11;149
70;8;141
72;28;167
74;4;139
1;8;15
4;34;43
7;5;20
9;8;33
10;8;20
11;20;138
12;8;41
13;8;23
14;3;19
16;5;25
17;7;29
18;8;41
19;9;32
20;8;38
23;8;62
24;19;137
26;1;33
28;4;39
29;51;228
31;1;40
33;8;48
34;48;118
35;1;45
36;8;49
39;9;69
40;27;75
41;8;60
42;6;54
43;18;71
45;16;88
46;25;161
47;1;53
48;8;83
49;8;118
50;44;132
52;50;227
54;5;88
56;8;96
58;8;109
59;65;354
61;14;132
62;2;72
63;6;102
64;8;110
67;4;136
68;11;153
69;11;143
70;8;145
72;28;205
74;4;142
1;8;15
4;34;98
7;5;21
9;8;22
10;8;24
11;20;34
12;8;37
13;8;29
14;3;29
16;5;26
17;7;29
18;8;72
19;9;45
20;8;49
23;8;40
24;19;129
26;1;30
28;4;41
29;51;180
31;1;37
33;8;55
34;48;89
35;1;42
36;8;55
39;9;64
40;27;84
41;8;57
42;6;81
43;18;75
45;16;97
46;25;109
47;1;73
48;8;153
49;8;105
50;44;219
52;50;155
54;5;131
56;8;113
58;8;118
59;65;330
61;14;124
62;2;134
63;6;95
64;8;118
67;4;122
68;11;124
69;11;145
70;8;126
72;28;247
74;4;129
1;8;15
4;34;102
7;5;18
9;8;17
10;8;20
11;20;55
12;8;20
13;8;31
14;3;22
16;5;21
17;7;27
18;8;28
19;9;148
20;8;31
23;8;46
24;19;101
26;1;32
28;4;37
29;51;212
31;1;43
33;8;68
34;48;86
35;1;51
36;8;60
39;9;66
40;27;159
41;8;140
42;6;88
43;18;139
45;16;82
46;25;126
47;1;64
48;8;71
49;8;140
50;44;132
52;50;176
54;5;87
56;8;110
58;8;118
59;65;290
61;14;153
62;2;142
63;6;124
64;8;150
67;4;152
68;11;170
69;11;153
70;8;161
72;28;211
74;4;157
1;8;21
4;34;73
7;5;19
9;8;22
10;8;19
11;20;103
12;8;41
13;8;26
14;3;24
16;5;33
17;7;40
18;8;32
19;9;56
20;8;36
23;8;36
24;19;144
26;1;34
28;4;53
29;51;242
31;1;39
33;8;64
34;48;99
35;1;42
36;8;61
39;9;53
40;27;80
41;8;67
42;6;59
43;18;98
45;16;83
46;25;110
47;1;62
48;8;91
49;8;106
50;44;151
52;50;241
54;5;67
56;8;113
58;8;113
59;65;415
61;14;124
62;2;107
63;6;79
64;8;152
67;4;125
68;11;135
69;11;136
70;8;121
72;28;163
74;4;120
1;8;23
4;34;505
7;5;12
9;8;23
10;8;50
11;20;35
12;8;42
13;8;30
14;3;22
16;5;39
17;7;33
18;8;61
19;9;74
20;8;34
23;8;50
24;19;53
26;1;52
28;4;43
29;51;256
31;1;59
33;8;50
34;48;97
35;1;51
36;8;58
39;9;69
40;27;77
41;8;60
42;6;80
43;18;205
45;16;97
46;25;187
47;1;60
48;8;77
49;8;105
50;44;293
52;50;255
54;5;74
56;8;96
58;8;88
59;65;198
61;14;124
62;2;121
63;6;71
64;8;113
67;4;81
68;11;144
69;11;132
70;8;118
72;28;149
74;4;81
1;8;42
4;34;71
7;5;15
9;8;24
10;8;20
11;20;96
12;8;33
13;8;29
14;3;24
16;5;30
17;7;25
18;8;33
19;9;46
20;8;37
23;8;37
24;19;71
26;1;38
28;4;52
29;51;203
31;1;46
33;8;52
34;48;193
35;1;45
36;8;69
39;9;61
40;27;79
41;8;54
42;6;199
43;18;79
45;16;95
46;25;108
47;1;96
48;8;116
49;8;79
50;44;279
52;50;145
54;5;100
56;8;106
58;8;130
59;65;221
61;14;120
62;2;122
63;6;154
64;8;108
67;4;134
68;11;145
69;11;156
70;8;156
72;28;170
74;4;106
1;8;11
4;34;60
7;5;13
9;8;20
10;8;43
11;20;46
12;8;21
13;8;34
14;3;18
16;5;50
17;7;27
18;8;42
19;9;35
20;8;36
23;8;57
24;19;64
26;1;36
28;4;55
29;51;218
31;1;35
33;8;50
34;48;144
35;1;51
36;8;76
39;9;148
40;27;77
41;8;69
42;6;63
43;18;79
45;16;95
46;25;88
47;1;55
48;8;127
49;8;96
50;44;139
52;50;146
54;5;74
56;8;82
58;8;109
59;65;329
61;14;170
62;2;79
63;6;88
64;8;119
67;4;143
68;11;138
69;11;154
70;8;177
72;28;166
74;4;148
1;8;12
4;34;91
7;5;13
9;8;18
10;8;19
11;20;60
12;8;27
13;8;22
14;3;26
16;5;23
17;7;53
18;8;67
19;9;35
20;8;36
